% Graph saved at Mon Dec 05 2022 11:28:59 GMT+0100 (heure normale d’Europe centrale)
n 56.26580926436413 192.2330023015587 0
n 120.50631559347805 397.3300896801995 1
n 181.42403711246536 24.7572741462189 2
n 471.6139105301869 273.54368191320924 3
n 518.1328978719591 431.31067220447136 4
n 607.8480877453767 234.70873045689854 6
n 309.90504977069327 365.776691621947 12
n 386.3291004036046 89.07766249573346 13
n 605.6328978719591 99.99999259282085 14
e 0 1 0 2
e 0 2 1 4
e 1 2 2 3
e 2 3 3 5
e 1 3 4 1
e 3 6 5 0
e 1 12 6 0
e 4 6 8 0
e 13 14 9 0
e 13 3 11 0
e 2 13 13 0
e 14 3 17 0
e 3 0 18 0
e 4 3 19 0
e 12 0 40 2
e 13 0 21 0
e 12 4 22 10
e 14 6 23 0
e 0 12 24 0
